"","X","WEIGHT","pid","orientation","CaseId","Trump","Biden","Exxon","Patagonia","Power","Sierra","Colgate","MSC","experiment","estimate","Estimate","political","candidate","organization","company","pol","sourceOrient"
"97",97,0.4656376,"Republican","Pro-development",334,1,1,1,1,0,0,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"98",98,0.46164125,"Republican","Pro-environment",338,0,1,0,0,1,1,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"99",99,0.45851831,NA,"Pro-environment",340,1,0,0,1,1,1,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"100",100,1.22061704,"Democrat","Pro-environment",341,0,1,0,0,1,1,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"101",101,1.96301157,NA,"Pro-environment",344,1,1,1,0,0,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"102",102,0.42678633,"Republican","Pro-development",346,0,1,1,0,0,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"103",103,2.0379446,"Republican",NA,352,0,0,1,0,1,0,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"104",104,0.92922344,NA,"Pro-environment",358,0,1,0,1,0,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"105",105,2.17121214,"Republican","Pro-environment",360,0,1,0,1,0,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"106",106,0.57883542,NA,"Pro-environment",361,1,1,1,0,0,1,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"107",107,0.72169265,"Republican","Pro-development",362,0,1,0,0,1,1,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"108",108,1.4260812,"Republican","Pro-environment",365,1,0,0,1,1,0,0,1,"POLADSTRUMP1S4",1,0,NA,NA,NA,NA,NA,NA
"109",109,0.49245688,NA,"Pro-environment",377,1,0,0,0,1,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"110",110,0.33799916,NA,"Pro-environment",378,1,1,1,0,1,0,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"111",111,1.93611763,"Democrat","Pro-environment",380,0,1,0,1,0,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"112",112,0.30377636,"Republican","Pro-environment",381,1,0,1,1,0,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"113",113,1.01753157,NA,"Pro-development",386,0,0,1,0,1,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"114",114,6.30061355,NA,"Pro-development",389,1,0,1,0,0,0,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"115",115,1.63384693,"Democrat","Pro-environment",396,0,0,1,0,1,0,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"116",116,0.40227405,NA,"Pro-development",397,1,1,1,1,1,0,1,0,"POLADSTRUMP1S4",3,0,NA,NA,NA,NA,NA,NA
"117",117,0.15759301,NA,"Pro-environment",398,1,0,1,0,0,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"118",118,1.94841301,NA,"Pro-environment",400,0,1,0,0,0,1,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"119",119,0.54793798,NA,"Pro-environment",406,0,0,1,0,0,1,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"120",120,0.49225444,"Republican","Pro-environment",407,1,1,1,0,1,0,1,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"121",121,1.23384791,NA,"Pro-environment",410,1,0,0,0,0,1,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"122",122,0.76032545,"Republican","Pro-environment",411,1,0,0,0,0,1,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"123",123,1.78997075,"Republican","Pro-development",412,1,1,1,1,0,1,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"124",124,0.42765362,"Republican","Pro-development",413,1,1,1,0,0,0,1,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"125",125,0.55852502,"Democrat","Pro-environment",415,1,0,0,1,0,1,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"126",126,0.75950273,NA,"Pro-environment",416,1,1,0,1,0,1,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"127",127,0.99373296,NA,"Pro-development",432,1,1,1,0,0,1,0,0,"POLADSTRUMP1S4",1,0,NA,NA,NA,NA,NA,NA
"128",128,0.41010845,"Republican","Pro-development",440,0,0,1,1,0,1,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"129",129,0.26272447,NA,"Pro-environment",441,1,0,1,0,0,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"130",130,0.77603861,NA,"Pro-development",442,0,0,1,0,1,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"131",131,2.3034993,"Republican","Pro-environment",445,NA,0,1,0,0,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"132",132,5.37695208,NA,"Pro-development",447,1,0,1,0,0,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"133",133,0.20141692,NA,"Pro-development",453,1,0,1,1,0,1,0,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"134",134,1.63669504,"Democrat","Pro-environment",455,0,1,0,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"135",135,0.58789301,"Republican","Pro-development",464,1,1,1,0,0,1,1,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"136",136,3.23059953,NA,"Pro-development",465,1,1,1,0,1,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"137",137,0.51418309,NA,"Pro-environment",467,1,1,1,0,1,1,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"138",138,0.21424025,NA,"Pro-environment",468,1,0,0,0,1,0,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"139",139,1.08647047,"Republican","Pro-development",471,1,0,1,1,0,1,1,0,"POLADSTRUMP1S4",1,0,NA,NA,NA,NA,NA,NA
"140",140,0.24909727,NA,NA,473,NA,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"141",141,1.23134475,"Republican","Pro-environment",474,0,1,0,1,1,1,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"142",142,0.75996263,"Republican","Pro-environment",477,0,0,1,1,0,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
